187.94.251.17 - - [04/Jun/2018:18:14:49 +0430] "GET / HTTP/1.1" 200 6640
127.0.0.1 - - [04/Jun/2018:18:15:29 +0430] "GET / HTTP/1.1" 200 18734
127.0.0.1 - - [04/Jun/2018:18:15:29 +0430] "GET /site/web/tabler/assets/js/require.min.js HTTP/1.1" 200 17738
127.0.0.1 - - [04/Jun/2018:18:15:29 +0430] "GET /site/web/tabler/assets/css/dashboard.css HTTP/1.1" 200 352704
127.0.0.1 - - [04/Jun/2018:18:15:29 +0430] "GET /site/web/tabler/assets/js/dashboard.js HTTP/1.1" 200 3480
127.0.0.1 - - [04/Jun/2018:18:15:29 +0430] "GET /~/jease.gif?scale=175 HTTP/1.1" 302 -
127.0.0.1 - - [04/Jun/2018:18:15:29 +0430] "GET /site/web/tabler/assets/images/logo.png HTTP/1.1" 200 32681
127.0.0.1 - - [04/Jun/2018:18:15:29 +0430] "GET /site/web/tabler/assets/fonts/feather/feather-webfont.woff?t=1501841394106 HTTP/1.1" 200 28984
127.0.0.1 - - [04/Jun/2018:18:15:30 +0430] "GET /site/web/tabler/assets/favicon.ico HTTP/1.1" 404 17315
127.0.0.1 - - [04/Jun/2018:18:15:30 +0430] "GET /site/web/tabler/assets/js/vendors/jquery-3.2.1.min.js HTTP/1.1" 200 86659
127.0.0.1 - - [04/Jun/2018:18:15:30 +0430] "GET /jease.gif?scale=175 HTTP/1.1" 200 16860
127.0.0.1 - - [04/Jun/2018:18:15:30 +0430] "GET /site/web/tabler/assets/js/vendors/bootstrap.bundle.min.js HTTP/1.1" 200 69267
127.0.0.1 - - [04/Jun/2018:18:15:30 +0430] "GET /site/web/tabler/assets/js/core.js HTTP/1.1" 200 2600
